employee_id,record_date,def_amount,roth_amount,loan_amount
E1000,2025-01-05,124.63,67.91,0.0
E1000,2025-01-19,53.37,0.0,0.0
E1000,2025-02-02,127.3,38.49,0.0
E1000,2025-02-16,157.3,0.0,0.0
E1000,2025-03-02,90.9,31.38,0.0
E1000,2025-03-16,79.47,0.0,0.0
E1000,2025-03-30,94.02,0.0,0.0
E1000,2025-04-13,38.35,30.55,0.0
E1001,2025-01-05,58.27,30.8,0.0
E1001,2025-01-19,130.09,0.0,0.0
E1001,2025-02-02,117.35,0.0,0.0
E1001,2025-02-16,177.91,0.0,0.0
E1001,2025-03-02,96.28,68.36,0.0
E1001,2025-03-16,38.96,40.79,0.0
E1001,2025-03-30,138.42,57.28,0.0
E1001,2025-04-13,138.89,88.91,0.0
E1002,2025-01-05,56.66,19.91,0.0
E1002,2025-01-19,66.03,0.0,0.0
E1002,2025-02-02,144.24,0.0,0.0
E1002,2025-02-16,91.91,0.0,0.0
E1002,2025-03-02,186.34,0.0,0.0
E1002,2025-03-16,136.15,0.0,0.0
E1002,2025-03-30,163.37,0.0,0.0
E1002,2025-04-13,59.88,0.0,0.0
E1003,2025-01-05,169.3,0.0,0.0
E1003,2025-01-19,178.41,0.0,0.0
E1003,2025-02-02,113.06,0.0,0.0
E1003,2025-02-16,74.63,66.25,0.0
E1003,2025-03-02,64.45,41.48,0.0
E1003,2025-03-16,95.13,0.0,0.0
E1003,2025-03-30,27.83,10.56,0.0
E1003,2025-04-13,184.47,0.0,0.0
E1004,2025-01-05,122.43,0.0,0.0
E1004,2025-01-19,115.49,68.96,0.0
E1004,2025-02-02,115.92,0.0,0.0
E1004,2025-02-16,105.93,0.0,0.0
E1004,2025-03-02,55.85,0.0,0.0
E1004,2025-03-16,101.8,38.99,0.0
E1004,2025-03-30,72.14,35.87,0.0
E1004,2025-04-13,157.11,0.0,0.0
E1005,2025-01-05,108.97,0.0,0.0
E1005,2025-01-19,25.49,29.13,0.0
E1005,2025-02-02,85.93,85.61,0.0
E1005,2025-02-16,61.34,0.0,0.0
E1005,2025-03-02,58.21,0.0,0.0
