employee_id,pay_date,def_amount,roth_amount,loan_amount,deferral_pre,deferral_roth
E1000,2025-01-01,165.67,8.28,0.0,165.67,8.28
E1000,2025-01-15,95.71,4.79,0.0,95.71,4.79
E1000,2025-01-29,163.25,8.16,0.0,163.25,8.16
E1000,2025-02-12,69.27,3.46,0.0,69.27,3.46
E1000,2025-02-26,188.06,9.4,0.0,188.06,9.4
E1000,2025-03-12,210.96,10.55,0.0,210.96,10.55
E1000,2025-03-26,170.63,8.53,0.0,170.63,8.53
E1000,2025-04-09,150.41,7.52,0.0,150.41,7.52
E1000,2025-04-23,207.89,10.39,0.0,207.89,10.39
E1000,2025-05-07,195.89,9.79,0.0,195.89,9.79
E1000,2025-05-21,48.14,2.41,0.0,48.14,2.41
E1000,2025-06-04,44.75,2.24,0.0,44.75,2.24
E1001,2025-01-01,107.76,5.39,0.0,107.76,5.39
E1001,2025-01-15,185.9,9.29,0.0,185.9,9.29
E1001,2025-01-29,217.71,10.89,0.0,217.71,10.89
E1001,2025-02-12,67.08,3.35,0.0,67.08,3.35
E1001,2025-02-26,146.94,7.35,0.0,146.94,7.35
E1001,2025-03-12,108.56,5.43,0.0,108.56,5.43
E1001,2025-03-26,214.58,10.73,0.0,214.58,10.73
E1001,2025-04-09,191.58,9.58,0.0,191.58,9.58
E1001,2025-04-23,190.9,9.54,0.0,190.9,9.54
E1001,2025-05-07,124.36,6.22,0.0,124.36,6.22
E1001,2025-05-21,114.67,5.73,0.0,114.67,5.73
E1001,2025-06-04,89.21,4.46,0.0,89.21,4.46
E1002,2025-01-01,50.15,2.51,0.0,50.15,2.51
E1002,2025-01-15,195.65,9.78,0.0,195.65,9.78
E1002,2025-01-29,219.95,11.0,0.0,219.95,11.0
E1002,2025-02-12,139.98,7.0,0.0,139.98,7.0
E1002,2025-02-26,178.42,8.92,0.0,178.42,8.92
E1002,2025-03-12,210.06,10.5,0.0,210.06,10.5
E1002,2025-03-26,84.52,4.23,0.0,84.52,4.23
E1002,2025-04-09,121.1,6.05,0.0,121.1,6.05
E1002,2025-04-23,63.25,3.16,0.0,63.25,3.16
E1002,2025-05-07,149.11,7.46,0.0,149.11,7.46
E1002,2025-05-21,81.16,4.06,0.0,81.16,4.06
E1002,2025-06-04,160.91,8.05,0.0,160.91,8.05
E1003,2025-01-01,151.26,7.56,0.0,151.26,7.56
E1003,2025-01-15,104.47,5.22,0.0,104.47,5.22
E1003,2025-01-29,60.44,3.02,0.0,60.44,3.02
E1003,2025-02-12,133.66,6.68,0.0,133.66,6.68
E1003,2025-02-26,179.02,8.95,0.0,179.02,8.95
E1003,2025-03-12,133.63,6.68,0.0,133.63,6.68
E1003,2025-03-26,193.39,9.67,0.0,193.39,9.67
E1003,2025-04-09,139.34,6.97,0.0,139.34,6.97
E1003,2025-04-23,140.97,7.05,0.0,140.97,7.05
E1003,2025-05-07,197.8,9.89,0.0,197.8,9.89
E1003,2025-05-21,112.63,5.63,0.0,112.63,5.63
E1003,2025-06-04,64.12,3.21,0.0,64.12,3.21
E1004,2025-01-01,45.18,2.26,0.0,45.18,2.26
E1004,2025-01-15,175.92,8.8,0.0,175.92,8.8
E1004,2025-01-29,151.66,7.58,0.0,151.66,7.58
E1004,2025-02-12,78.33,3.92,0.0,78.33,3.92
E1004,2025-02-26,64.55,3.23,0.0,64.55,3.23
E1004,2025-03-12,103.11,5.16,0.0,103.11,5.16
E1004,2025-03-26,146.19,7.31,0.0,146.19,7.31
E1004,2025-04-09,110.6,5.53,0.0,110.6,5.53
E1004,2025-04-23,118.75,5.94,0.0,118.75,5.94
E1004,2025-05-07,202.75,10.14,0.0,202.75,10.14
E1004,2025-05-21,102.69,5.13,0.0,102.69,5.13
E1004,2025-06-04,181.06,9.05,0.0,181.06,9.05
E1005,2025-01-01,111.38,5.57,0.0,111.38,5.57
E1005,2025-01-15,151.98,7.6,0.0,151.98,7.6
E1005,2025-01-29,210.91,10.55,0.0,210.91,10.55
E1005,2025-02-12,66.47,3.32,0.0,66.47,3.32
E1005,2025-02-26,206.79,10.34,0.0,206.79,10.34
E1005,2025-03-12,86.48,4.32,0.0,86.48,4.32
E1005,2025-03-26,122.64,6.13,0.0,122.64,6.13
E1005,2025-04-09,216.41,10.82,0.0,216.41,10.82
E1005,2025-04-23,128.67,6.43,0.0,128.67,6.43
E1005,2025-05-07,99.18,4.96,0.0,99.18,4.96
E1005,2025-05-21,154.01,7.7,0.0,154.01,7.7
E1005,2025-06-04,83.23,4.16,0.0,83.23,4.16
E1006,2025-01-01,53.66,2.68,0.0,53.66,2.68
E1006,2025-01-15,63.2,3.16,0.0,63.2,3.16
E1006,2025-01-29,63.05,3.15,0.0,63.05,3.15
E1006,2025-02-12,67.34,3.37,0.0,67.34,3.37
E1006,2025-02-26,64.99,3.25,0.0,64.99,3.25
E1006,2025-03-12,155.36,7.77,0.0,155.36,7.77
E1006,2025-03-26,72.74,3.64,0.0,72.74,3.64
E1006,2025-04-09,102.22,5.11,0.0,102.22,5.11
E1006,2025-04-23,201.42,10.07,0.0,201.42,10.07
E1006,2025-05-07,125.31,6.27,0.0,125.31,6.27
E1006,2025-05-21,160.16,8.01,0.0,160.16,8.01
E1006,2025-06-04,71.02,3.55,0.0,71.02,3.55
E1007,2025-01-01,74.61,3.73,0.0,74.61,3.73
E1007,2025-01-15,70.41,3.52,0.0,70.41,3.52
E1007,2025-01-29,90.15,4.51,0.0,90.15,4.51
E1007,2025-02-12,71.86,3.59,0.0,71.86,3.59
E1007,2025-02-26,55.97,2.8,0.0,55.97,2.8
E1007,2025-03-12,122.94,6.15,0.0,122.94,6.15
E1007,2025-03-26,77.14,3.86,0.0,77.14,3.86
E1007,2025-04-09,105.57,5.28,0.0,105.57,5.28
E1007,2025-04-23,130.62,6.53,0.0,130.62,6.53
E1007,2025-05-07,164.27,8.21,0.0,164.27,8.21
E1007,2025-05-21,47.08,2.35,0.0,47.08,2.35
E1007,2025-06-04,183.89,9.19,0.0,183.89,9.19
E1008,2025-01-01,153.02,7.65,0.0,153.02,7.65
