employee_id,pay_date,EE Deferral $,EE Roth $,ER Match $,deposit_date
E001,2024-01-15,1800,0,900,2024-01-18
E001,2024-02-15,1800,0,900,2024-02-19
E001,2024-03-15,1800,0,900,2024-03-28  # delayed deposit

E002,2024-01-15,300,0,150,2024-01-16
E002,2024-02-15,300,0,150,2024-02-16

E003,2024-02-15,200,0,50,2024-02-18
E003,2024-03-15,300,0,75,2024-03-18
# Missing 2024-01-15 row → reconciliation mismatch

E004,2024-01-15,19000,0,9000,2024-01-17
E004,2024-02-15,19000,0,9000,2024-02-17
E004,2024-03-15,19000,0,9000,2024-03-17

E005,2024-01-15,23000,0,500,2024-01-17
E005,2024-02-15,500,0,250,2024-02-17

E006,2024-01-15,1650,0,825,2024-01-16
E006,2024-02-15,1650,0,825,2024-02-16

E007,2024-02-15,0,0,0,2024-02-18
# Missing first deferral → eligibility issue

E008,2024-01-15,1000,0,600,2024-01-17   # OVER-MATCH
E008,2024-02-15,1000,0,400,2024-02-16   # UNDER-MATCH

E009,2024-01-15,24000,0,1000,2024-01-18  # Likely 402(g)
E009,2024-02-15,24000,0,1000,2024-02-18

# E010 missing second row → reconciliation mismatch
E010,2024-01-15,300,0,150,2024-01-17
