employee_id,pay_date,def_amount,roth_amount,loan_amount,deferral_pre,deferral_roth
E1000,2025-01-03,209.28,29.95,0.0,209.28,29.95
E1000,2025-01-17,106.63,0.25,0.0,106.63,0.25
E1000,2025-01-31,117.07,16.97,0.0,117.07,16.97
E1000,2025-02-14,193.54,8.55,0.0,193.54,8.55
E1000,2025-02-28,193.2,9.18,0.0,193.2,9.18
E1000,2025-03-14,70.51,5.89,0.0,70.51,5.89
E1000,2025-03-28,165.29,14.13,0.0,165.29,14.13
E1000,2025-04-11,57.49,5.3,0.0,57.49,5.3
E1001,2025-01-03,218.21,4.59,0.0,218.21,4.59
E1001,2025-01-17,133.3,17.54,0.0,133.3,17.54
E1001,2025-01-31,173.34,18.12,0.0,173.34,18.12
E1001,2025-02-14,166.45,8.98,0.0,166.45,8.98
E1001,2025-02-28,92.85,11.27,0.0,92.85,11.27
E1001,2025-03-14,185.82,24.17,0.0,185.82,24.17
E1001,2025-03-28,204.38,15.68,0.0,204.38,15.68
E1001,2025-04-11,183.69,17.91,0.0,183.69,17.91
E1002,2025-01-03,183.24,24.46,0.0,183.24,24.46
E1002,2025-01-17,100.84,5.68,0.0,100.84,5.68
E1002,2025-01-31,56.92,4.94,0.0,56.92,4.94
E1002,2025-02-14,46.47,3.25,0.0,46.47,3.25
E1002,2025-02-28,137.68,5.92,0.0,137.68,5.92
E1002,2025-03-14,146.35,0.67,0.0,146.35,0.67
E1002,2025-03-28,188.07,10.16,0.0,188.07,10.16
E1002,2025-04-11,62.87,4.93,0.0,62.87,4.93
E1003,2025-01-03,178.6,5.78,0.0,178.6,5.78
E1003,2025-01-17,152.12,1.95,0.0,152.12,1.95
E1003,2025-01-31,49.3,3.93,0.0,49.3,3.93
E1003,2025-02-14,137.31,13.13,0.0,137.31,13.13
E1003,2025-02-28,215.65,16.7,0.0,215.65,16.7
E1003,2025-03-14,98.13,11.7,0.0,98.13,11.7
E1003,2025-03-28,88.75,5.84,0.0,88.75,5.84
E1003,2025-04-11,54.12,0.21,0.0,54.12,0.21
E1004,2025-01-03,213.28,26.74,0.0,213.28,26.74
E1004,2025-01-17,165.28,10.14,0.0,165.28,10.14
E1004,2025-01-31,71.19,1.67,0.0,71.19,1.67
E1004,2025-02-14,85.04,7.01,0.0,85.04,7.01
E1004,2025-02-28,168.63,16.7,0.0,168.63,16.7
E1004,2025-03-14,211.88,23.45,0.0,211.88,23.45
E1004,2025-03-28,139.78,12.83,0.0,139.78,12.83
