employee_id,record_date,def_amount,roth_amount,loan_amount
E3001,2025-01-12,340,0,0
E3001,2025-01-26,362,0,0
E3001,2025-02-09,379,0,0
E3001,2025-02-23,401,0,0
E3002,2025-01-12,365,0,0
E3002,2025-01-26,389,0,0
E3002,2025-02-09,407,0,0
E3002,2025-02-23,426,0,0
E3003,2025-01-12,150,40,0
E3003,2025-01-26,160,30,0
E3003,2025-02-09,155,35,0
E3003,2025-02-23,165,25,0
E3004,2025-01-12,330,0,0
E3004,2025-01-26,352,0,0
E3004,2025-02-09,368,0,0
E3004,2025-02-23,392,0,0
E3005,2025-01-12,170,30,0
E3005,2025-01-26,180,25,0
E3005,2025-02-09,190,20,0
E3005,2025-02-23,200,15,0
E3006,2025-01-12,355,0,0
E3006,2025-01-26,377,0,0
E3006,2025-02-09,399,0,0
E3006,2025-02-23,421,0,0
E3007,2025-01-12,160,35,0
E3007,2025-01-26,170,30,0
E3007,2025-02-09,175,25,0
E3007,2025-02-23,185,20,0
E3008,2025-01-12,360,0,0
E3008,2025-01-26,382,0,0
E3008,2025-02-09,404,0,0
E3008,2025-02-23,428,0,0
E3009,2025-01-12,180,20,0
E3009,2025-01-26,190,15,0
E3009,2025-02-09,200,10,0
E3009,2025-02-23,210,5,0
E3010,2025-01-12,335,0,0
E3010,2025-01-26,357,0,0
E3010,2025-02-09,379,0,0
E3010,2025-02-23,403,0,0
