employee_id,record_date,def_amount,roth_amount,loan_amount
E2001,2025-01-12,128,14,0
E2001,2025-01-26,83,34,0
E2001,2025-02-09,129,10,0
E2001,2025-03-03,151,2,0
E2002,2025-01-12,179,9,0
E2002,2025-01-31,122,37,0
E2002,2025-02-09,116,5,0
E2002,2025-02-28,157,10,0
E2003,2025-01-12,103,34,0
E2003,2025-01-26,87,5,0
E2003,2025-02-16,121,31,0
E2003,2025-02-23,104,13,0
E2004,2025-01-19,180,27,0
E2004,2025-01-26,143,21,0
E2004,2025-02-09,132,12,0
E2004,2025-03-05,173,25,0
E2005,2025-01-12,169,20,0
E2005,2025-01-26,157,1,0
E2005,2025-02-15,95,39,0
E2005,2025-02-23,141,17,0
E2006,2025-01-12,118,36,0
E2006,2025-01-26,149,4,0
E2006,2025-02-16,71,24,0
E2006,2025-02-23,101,0,0
E2007,2025-01-12,78,29,0
E2007,2025-01-26,118,34,0
E2007,2025-02-09,169,5,0
E2008,2025-01-12,150,27,0
E2008,2025-02-02,103,18,0
E2008,2025-02-09,128,5,0
E2008,2025-02-23,141,8,0
E2009,2025-01-19,87,17,0
E2009,2025-01-31,158,2,0
E2009,2025-02-09,138,24,0
E2009,2025-02-23,169,0,0
E2010,2025-01-12,194,3,0
E2010,2025-01-26,133,36,0
E2010,2025-02-09,161,10,0
E2010,2025-02-23,115,9,0
