employee_id,age,is_hce,pay_date,def_amount,roth_amount,loan_amount,deferral_pre,deferral_roth
E3001,55,1,2025-01-10,340,0,0,340,0
E3001,55,1,2025-01-24,362,0,0,362,0
E3001,55,1,2025-02-07,379,0,0,379,0
E3001,55,1,2025-02-21,401,0,0,401,0
E3002,61,1,2025-01-10,365,0,0,365,0
E3002,61,1,2025-01-24,389,0,0,389,0
E3002,61,1,2025-02-07,407,0,0,407,0
E3002,61,1,2025-02-21,426,0,0,426,0
E3003,38,0,2025-01-10,150,40,0,150,40
E3003,38,0,2025-01-24,160,30,0,160,30
E3003,38,0,2025-02-07,155,35,0,155,35
E3003,38,0,2025-02-21,165,25,0,165,25
E3004,50,1,2025-01-10,330,0,0,330,0
E3004,50,1,2025-01-24,352,0,0,352,0
E3004,50,1,2025-02-07,368,0,0,368,0
E3004,50,1,2025-02-21,392,0,0,392,0
E3005,45,0,2025-01-10,170,30,0,170,30
E3005,45,0,2025-01-24,180,25,0,180,25
E3005,45,0,2025-02-07,190,20,0,190,20
E3005,45,0,2025-02-21,200,15,0,200,15
E3006,55,1,2025-01-10,355,0,0,355,0
E3006,55,1,2025-01-24,377,0,0,377,0
E3006,55,1,2025-02-07,399,0,0,399,0
E3006,55,1,2025-02-21,421,0,0,421,0
E3007,42,0,2025-01-10,160,35,0,160,35
E3007,42,0,2025-01-24,170,30,0,170,30
E3007,42,0,2025-02-07,175,25,0,175,25
E3007,42,0,2025-02-21,185,20,0,185,20
E3008,60,1,2025-01-10,360,0,0,360,0
E3008,60,1,2025-01-24,382,0,0,382,0
E3008,60,1,2025-02-07,404,0,0,404,0
E3008,60,1,2025-02-21,428,0,0,428,0
E3009,49,0,2025-01-10,180,20,0,180,20
E3009,49,0,2025-01-24,190,15,0,190,15
E3009,49,0,2025-02-07,200,10,0,200,10
E3009,49,0,2025-02-21,210,5,0,210,5
E3010,52,1,2025-01-10,335,0,0,335,0
E3010,52,1,2025-01-24,357,0,0,357,0
E3010,52,1,2025-02-07,379,0,0,379,0
E3010,52,1,2025-02-21,403,0,0,403,0
E9999,65,1,2025-01-15,15000,12000,0,12000,0
