employee_id,record_date,def_amount,roth_amount,loan_amount
E1000,2025-01-05,230.02,29.95,0.0
E1000,2025-01-18,128.05,0.25,0.0
E1000,2025-02-07,140.25,16.97,0.0
E1000,2025-02-18,187.79,8.55,0.0
E1000,2025-03-01,193.2,9.18,0.0
E1000,2025-03-17,92.32000000000001,5.89,0.0
E1000,2025-03-29,165.29,14.13,0.0
E1000,2025-04-14,57.49,5.3,0.0
E1001,2025-01-07,218.21,4.59,0.0
E1001,2025-02-03,173.34,18.12,0.0
E1001,2025-02-21,166.45,8.98,0.0
E1001,2025-03-01,92.85,11.27,0.0
E1001,2025-03-16,185.82,24.17,0.0
E1001,2025-03-29,204.46,15.68,0.0
E1001,2025-04-13,193.79,17.91,0.0
E1002,2025-01-05,183.24,24.46,0.0
E1002,2025-01-19,100.84,5.68,0.0
E1002,2025-02-01,56.92,4.94,0.0
E1002,2025-02-17,46.47,3.25,0.0
E1002,2025-03-04,137.68,5.92,0.0
E1002,2025-03-17,123.22,0.67,0.0
E1002,2025-03-31,188.07,10.16,0.0
E1002,2025-04-12,62.87,4.93,0.0
E1003,2025-01-10,178.6,5.78,0.0
E1003,2025-01-26,152.12,1.95,0.0
E1003,2025-02-01,49.3,3.93,0.0
E1003,2025-02-17,148.61,13.13,0.0
E1003,2025-03-02,215.65,16.7,0.0
E1003,2025-03-17,98.13,11.7,0.0
E1003,2025-03-29,88.75,5.84,0.0
E1003,2025-04-13,54.12,0.21,0.0
E1004,2025-01-04,213.28,26.74,0.0
E1004,2025-01-25,165.28,10.14,0.0
E1004,2025-02-01,71.19,1.67,0.0
E1004,2025-02-25,85.04,7.01,0.0
E1004,2025-03-02,157.63,16.7,0.0
E1004,2025-03-17,211.88,23.45,0.0
E1004,2025-03-30,139.78,12.83,0.0
E1004,2025-04-14,115.53,4.29,0.0
E1005,2025-01-10,104.08,11.83,0.0
E1005,2025-02-25,193.98,20.47,0.0
E1005,2025-03-03,125.35,1.84,0.0
E1005,2025-03-30,71.18,4.63,0.0
E1005,2025-04-13,111.73,10.32,0.0
E1006,2025-01-04,154.32,1.05,0.0
E1006,2025-01-18,107.43,10.09,0.0
E1006,2025-02-09,130.56,16.77,0.0
E1006,2025-02-21,158.56,3.88,0.0
E1006,2025-03-03,52.7,5.08,0.0
E1006,2025-03-26,44.77,3.93,0.0
E1006,2025-04-07,209.24,18.06,0.0
E1006,2025-04-13,109.87,10.6,0.0
E1007,2025-01-07,122.49,10.02,0.0
E1007,2025-01-26,232.52,12.13,0.0
E1007,2025-02-04,202.96,5.96,0.0
E1007,2025-02-18,52.49,0.79,0.0
E1007,2025-03-01,43.28,0.61,0.0
E1007,2025-03-16,153.89,1.74,0.0
E1007,2025-04-17,186.6,7.89,0.0
E1008,2025-01-13,61.27,6.4,0.0
E1008,2025-01-21,153.21,20.17,0.0
E1008,2025-02-03,172.31,20.77,0.0
E1008,2025-02-18,90.77,2.42,0.0
E1008,2025-03-01,175.11,21.19,0.0
E1008,2025-04-07,106.96,12.46,0.0
E1008,2025-04-12,101.34,14.15,0.0
E1009,2025-01-15,194.51,12.52,0.0
E1009,2025-01-18,175.16,19.82,0.0
E1009,2025-02-01,58.56,7.93,0.0
E1009,2025-02-20,121.94999999999999,16.23,0.0
E1009,2025-03-02,176.73,11.75,0.0
E1009,2025-03-17,193.94,2.78,0.0
E1009,2025-03-29,211.01,30.09,0.0
E1010,2025-01-15,120.72,5.31,0.0
E1010,2025-01-26,99.16,10.0,0.0
E1010,2025-02-06,175.43,20.83,0.0
E1010,2025-02-20,182.13,2.49,0.0
E1010,2025-03-07,129.0,1.11,0.0
E1010,2025-03-29,199.79,10.52,0.0
E1010,2025-04-12,74.15,1.31,0.0
E1011,2025-01-05,151.28,2.29,0.0
E1011,2025-01-29,55.14,5.8,0.0
E1011,2025-02-11,53.1,6.55,0.0
E1011,2025-02-16,167.12,2.04,0.0
E1011,2025-03-12,55.27,8.18,0.0
E1011,2025-03-31,210.60000000000002,26.47,0.0
E1011,2025-04-12,175.61,9.91,0.0
E1012,2025-01-04,55.03,6.41,0.0
E1012,2025-01-21,140.51,8.94,0.0
E1012,2025-02-01,203.14,3.39,0.0
E1012,2025-03-03,105.3,1.05,0.0
E1012,2025-04-01,174.29,15.25,0.0
E1012,2025-04-13,213.19,11.99,0.0
E1013,2025-01-15,91.43,11.91,0.0
E1013,2025-01-19,80.25,11.59,0.0
E1013,2025-02-03,19.349999999999998,6.14,0.0
E1013,2025-02-22,200.41,15.86,0.0
E1013,2025-03-03,218.73,2.42,0.0
E1013,2025-03-18,140.84,20.31,0.0
E1013,2025-03-31,153.29,16.0,0.0
E1013,2025-04-13,121.82,11.47,0.0
E1014,2025-01-07,145.18,19.62,0.0
E1014,2025-01-19,48.18,2.03,0.0
E1014,2025-02-03,211.07,28.19,0.0
E1014,2025-03-02,89.93,2.54,0.0
E1014,2025-03-15,127.65,6.54,0.0
