employee_id,amount_payroll,pay_date,amount_rk,_merge
E1000,,,745.19,right_only
E1001,,,783.6,right_only
E1002,,,635.85,right_only
E1003,,,619.94,right_only
E1004,,,689.11,right_only
E1005,,,834.9,right_only
E1006,,,621.58,right_only
E1007,,,704.53,right_only
E1008,,,946.59,right_only
E1009,,,626.21,right_only
E1010,,,700.36,right_only
E1011,,,746.33,right_only
E1012,,,765.3299999999999,right_only
E1013,,,653.27,right_only
E1014,,,804.41,right_only
E1015,,,812.96,right_only
E1016,,,562.7,right_only
E1017,,,771.85,right_only
E1018,,,674.18,right_only
E1019,,,889.05,right_only
E1020,,,718.0,right_only
E1021,,,725.39,right_only
E1022,,,741.81,right_only
E1023,,,802.1700000000001,right_only
E1024,,,564.61,right_only
E1025,,,751.48,right_only
E1026,,,809.96,right_only
E1027,,,690.34,right_only
E1028,,,609.65,right_only
E1029,,,745.72,right_only
E1030,,,776.17,right_only
E1031,,,770.14,right_only
E1032,,,876.72,right_only
E1033,,,817.98,right_only
E1034,,,531.97,right_only
E1035,,,759.94,right_only
E1036,,,869.49,right_only
E1037,,,650.5,right_only
E1038,,,883.52,right_only
E1039,,,606.82,right_only
