employee_id,record_date,def_amount,roth_amount,loan_amount
E1000,2025-01-06,106.18,0.0,0.0
E1000,2025-01-20,192.61,0.0,0.0
E1000,2025-02-03,159.8,0.0,0.0
E1000,2025-02-17,139.8,0.0,0.0
E1000,2025-03-03,73.4,0.0,0.0
E1000,2025-03-17,73.4,0.0,0.0
E1001,2025-01-06,58.71,0.0,0.0
E1001,2025-01-20,179.93,0.0,0.0
E1001,2025-02-03,140.17,0.0,0.0
E1001,2025-02-17,156.21,0.0,0.0
E1001,2025-03-03,53.09,0.0,0.0
E1001,2025-03-17,195.49,0.0,0.0
E1002,2025-01-06,174.87,0.0,0.0
E1002,2025-01-20,81.85,0.0,0.0
E1002,2025-02-03,77.27,0.0,0.0
E1002,2025-02-17,77.51,0.0,0.0
E1002,2025-03-03,95.64,0.0,0.0
E1002,2025-03-17,128.71,0.0,0.0
E1003,2025-01-06,114.79,0.0,0.0
E1003,2025-01-20,93.68,0.0,0.0
E1003,2025-02-03,141.78,0.0,0.0
E1003,2025-02-17,70.92,0.0,0.0
E1003,2025-03-03,93.82,0.0,0.0
E1003,2025-03-17,104.95,0.0,0.0
E1004,2025-01-06,118.41,0.0,0.0
E1004,2025-01-20,167.78,0.0,0.0
E1004,2025-02-03,79.95,0.0,0.0
E1004,2025-02-17,127.14,0.0,0.0
E1004,2025-03-03,138.86,0.0,0.0
E1004,2025-03-17,56.97,0.0,0.0
E1005,2025-01-06,141.13,0.0,0.0
E1005,2025-01-20,75.58,0.0,0.0
E1005,2025-02-03,59.76,0.0,0.0
E1005,2025-02-17,192.33,0.0,0.0
E1005,2025-03-03,194.84,0.0,0.0
E1005,2025-03-17,171.26,0.0,0.0
E1006,2025-01-06,95.69,0.0,0.0
E1006,2025-01-20,64.65,0.0,0.0
E1006,2025-02-03,152.63,0.0,0.0
E1006,2025-02-17,116.02,0.0,0.0
E1006,2025-03-03,68.31,0.0,0.0
E1006,2025-03-17,124.28,0.0,0.0
E1007,2025-01-06,55.16,0.0,0.0
E1007,2025-01-20,186.4,0.0,0.0
E1007,2025-02-03,88.82,0.0,0.0
E1007,2025-02-17,149.38,0.0,0.0
E1007,2025-03-03,96.76,0.0,0.0
E1007,2025-03-17,128.01,0.0,0.0
E1008,2025-01-06,132.01,0.0,0.0
E1008,2025-01-20,77.73,0.0,0.0
E1008,2025-02-03,195.44,0.0,0.0
E1008,2025-02-17,166.27,0.0,0.0
E1008,2025-03-03,190.92,0.0,0.0
E1008,2025-03-17,184.22,0.0,0.0
E1009,2025-01-06,139.68,0.0,0.0
E1009,2025-01-20,188.28,0.0,0.0
E1009,2025-02-03,63.27,0.0,0.0
E1009,2025-02-17,79.4,0.0,0.0
E1009,2025-03-03,56.78,0.0,0.0
E1009,2025-03-17,98.8,0.0,0.0
E1010,2025-01-06,108.3,0.0,0.0
E1010,2025-01-20,90.7,0.0,0.0
E1010,2025-02-03,174.31,0.0,0.0
E1010,2025-02-17,103.51,0.0,0.0
E1010,2025-03-03,92.14,0.0,0.0
E1010,2025-03-17,131.4,0.0,0.0
E1011,2025-01-06,71.14,0.0,0.0
E1011,2025-01-20,170.33,0.0,0.0
E1011,2025-02-03,61.18,0.0,0.0
E1011,2025-02-17,198.03,0.0,0.0
E1011,2025-03-03,165.84,0.0,0.0
E1011,2025-03-17,79.81,0.0,0.0
E1012,2025-01-06,50.83,0.0,0.0
E1012,2025-01-20,172.32,0.0,0.0
E1012,2025-02-03,156.03,0.0,0.0
E1012,2025-02-17,159.35,0.0,0.0
E1012,2025-03-03,165.69,0.0,0.0
E1012,2025-03-17,61.11,0.0,0.0
E1013,2025-01-06,103.77,0.0,0.0
E1013,2025-01-20,67.38,0.0,0.0
E1013,2025-02-03,179.47,0.0,0.0
E1013,2025-02-17,143.49,0.0,0.0
E1013,2025-03-03,99.63,0.0,0.0
E1013,2025-03-17,59.53,0.0,0.0
E1014,2025-01-06,96.65,0.0,0.0
E1014,2025-01-20,98.78,0.0,0.0
E1014,2025-02-03,159.44,0.0,0.0
E1014,2025-02-17,145.63,0.0,0.0
E1014,2025-03-03,183.08,0.0,0.0
E1014,2025-03-17,120.83,0.0,0.0
E1015,2025-01-06,67.94,0.0,0.0
E1015,2025-01-20,156.99,0.0,0.0
E1015,2025-02-03,164.12,0.0,0.0
E1015,2025-02-17,134.19,0.0,0.0
E1015,2025-03-03,165.65,0.0,0.0
E1015,2025-03-17,124.07,0.0,0.0
E1016,2025-01-06,128.41,0.0,0.0
E1016,2025-01-20,114.13,0.0,0.0
E1016,2025-02-03,53.81,0.0,0.0
E1016,2025-02-17,66.18,0.0,0.0
E1016,2025-03-03,54.71,0.0,0.0
E1016,2025-03-17,145.46,0.0,0.0
E1017,2025-01-06,97.15,0.0,0.0
E1017,2025-01-20,126.29,0.0,0.0
E1017,2025-02-03,186.13,0.0,0.0
E1017,2025-02-17,87.39,0.0,0.0
E1017,2025-03-03,111.56,0.0,0.0
E1017,2025-03-17,163.33,0.0,0.0
E1018,2025-01-06,84.32,0.0,0.0
E1018,2025-01-20,61.55,0.0,0.0
E1018,2025-02-03,93.46,0.0,0.0
E1018,2025-02-17,74.18,0.0,0.0
E1018,2025-03-03,189.45,0.0,0.0
E1018,2025-03-17,171.22,0.0,0.0
E1019,2025-01-06,145.01,0.0,0.0
E1019,2025-01-20,180.72,0.0,0.0
E1019,2025-02-03,170.55,0.0,0.0
E1019,2025-02-17,77.99,0.0,0.0
E1019,2025-03-03,183.88,0.0,0.0
E1019,2025-03-17,130.9,0.0,0.0
E1020,2025-01-06,171.12,0.0,0.0
E1020,2025-01-20,184.41,0.0,0.0
E1020,2025-02-03,97.7,0.0,0.0
E1020,2025-02-17,66.51,0.0,0.0
E1020,2025-03-03,84.19,0.0,0.0
E1020,2025-03-17,114.07,0.0,0.0
E1021,2025-01-06,172.7,0.0,0.0
E1021,2025-01-20,179.11,0.0,0.0
E1021,2025-02-03,51.04,0.0,0.0
E1021,2025-02-17,126.61,0.0,0.0
E1021,2025-03-03,112.61,0.0,0.0
E1021,2025-03-17,83.32,0.0,0.0
E1022,2025-01-06,67.98,0.0,0.0
E1022,2025-01-20,100.64,0.0,0.0
E1022,2025-02-03,191.44,0.0,0.0
E1022,2025-02-17,98.48,0.0,0.0
E1022,2025-03-03,127.82,0.0,0.0
E1022,2025-03-17,155.45,0.0,0.0
E1023,2025-01-06,104.54,0.0,0.0
E1023,2025-01-20,195.77,0.0,0.0
E1023,2025-02-03,194.37,0.0,0.0
E1023,2025-02-17,87.77,0.0,0.0
E1023,2025-03-03,124.59,0.0,0.0
E1023,2025-03-17,95.13,0.0,0.0
E1024,2025-01-06,92.73,0.0,0.0
E1024,2025-01-20,55.53,0.0,0.0
E1024,2025-02-03,141.43,0.0,0.0
E1024,2025-02-17,125.4,0.0,0.0
E1024,2025-03-03,57.72,0.0,0.0
E1024,2025-03-17,91.8,0.0,0.0
E1025,2025-01-06,186.24,0.0,0.0
E1025,2025-01-20,85.93,0.0,0.0
E1025,2025-02-03,71.73,0.0,0.0
E1025,2025-02-17,123.42,0.0,0.0
E1025,2025-03-03,197.85,0.0,0.0
E1025,2025-03-17,86.31,0.0,0.0
E1026,2025-01-06,150.82,0.0,0.0
E1026,2025-01-20,164.24,0.0,0.0
E1026,2025-02-03,85.65,0.0,0.0
E1026,2025-02-17,159.23,0.0,0.0
E1026,2025-03-03,105.17,0.0,0.0
E1026,2025-03-17,144.85,0.0,0.0
E1027,2025-01-06,145.03,0.0,0.0
E1027,2025-01-20,130.37,0.0,0.0
E1027,2025-02-03,63.54,0.0,0.0
E1027,2025-02-17,175.3,0.0,0.0
E1027,2025-03-03,98.12,0.0,0.0
E1027,2025-03-17,77.98,0.0,0.0
E1028,2025-01-06,56.12,0.0,0.0
E1028,2025-01-20,138.63,0.0,0.0
E1028,2025-02-03,151.63,0.0,0.0
E1028,2025-02-17,52.49,0.0,0.0
E1028,2025-03-03,126.81,0.0,0.0
E1028,2025-03-17,83.97,0.0,0.0
E1029,2025-01-06,146.78,0.0,0.0
E1029,2025-01-20,76.15,0.0,0.0
E1029,2025-02-03,153.64,0.0,0.0
E1029,2025-02-17,108.01,0.0,0.0
E1029,2025-03-03,190.51,0.0,0.0
E1029,2025-03-17,70.63,0.0,0.0
