employee_id,pay_date,def_amount,roth_amount,loan_amount
EMP01001,2025-02-28,239.19,259.95,0.0
EMP01002,2025-01-24,104.55,322.33,0.0
EMP01002,2025-02-14,512.49,323.77,0.0
EMP01002,2025-02-21,588.7,136.1,0.0
EMP01003,2025-01-24,770.05,134.64,0.0
EMP01004,2025-02-14,167.7,339.0,0.0
EMP01005,2025-01-03,745.61,31.52,0.0
EMP01005,2025-01-31,421.6,49.93,0.0
EMP01005,2025-02-07,305.22,251.46,0.0
EMP01006,2025-01-10,302.57,31.92,0.0
EMP01006,2025-01-24,132.08,91.16,0.0
EMP01007,2025-01-10,366.09,181.36,0.0
EMP01008,2025-01-17,348.69,268.07,0.0
EMP01008,2025-02-07,591.27,273.42,0.0
EMP01009,2025-01-17,473.9,97.92,0.0
EMP01010,2025-01-31,489.86,273.85,0.0
EMP01010,2025-02-14,792.67,256.0,0.0
EMP01011,2025-01-24,675.26,322.02,0.0
EMP01012,2025-01-10,713.46,125.87,0.0
EMP01012,2025-01-31,247.69,377.16,0.0
EMP01013,2025-02-07,283.92,233.83,0.0
EMP01013,2025-02-14,272.64,224.55,0.0
EMP01013,2025-02-21,421.2,105.95,0.0
EMP01014,2025-01-10,702.77,61.14,0.0
EMP01014,2025-02-07,445.46,302.31,0.0
EMP01014,2025-02-14,798.13,55.33,0.0
EMP01015,2025-02-14,517.49,153.91,0.0
EMP01016,2025-01-31,577.2,214.79,53.37
EMP01016,2025-02-21,702.55,4.59,144.14
EMP01016,2025-02-28,548.67,44.62,86.95
EMP01017,2025-01-03,780.32,304.78,101.54
EMP01017,2025-01-31,174.49,250.12,168.33
EMP01018,2025-01-17,645.04,212.14,0.0
EMP01018,2025-01-24,633.76,215.75,0.0
EMP01018,2025-02-21,100.4,129.66,0.0
EMP01019,2025-01-10,750.37,351.49,0.0
EMP01020,2025-01-03,155.13,292.76,0.0
EMP01020,2025-01-24,268.61,226.94,0.0
EMP01021,2025-02-28,636.08,51.36,0.0
EMP01022,2025-01-17,396.2,84.72,0.0
EMP01022,2025-02-28,285.54,348.97,0.0
EMP01023,2025-01-24,796.6,259.95,0.0
EMP01023,2025-01-31,406.67,207.03,0.0
EMP01023,2025-02-28,184.7,89.88,0.0
EMP01024,2025-01-03,511.91,2.88,0.0
EMP01024,2025-01-24,595.49,23.55,0.0
EMP01025,2025-01-03,701.74,28.34,0.0
EMP01026,2025-01-31,568.28,85.69,0.0
EMP01027,2025-02-21,270.1,189.19,0.0
EMP01028,2025-01-10,396.51,186.81,0.0
EMP01028,2025-01-24,167.85,172.42,0.0
EMP01029,2025-01-03,381.83,135.72,0.0
EMP01029,2025-01-10,703.17,99.46,0.0
EMP01029,2025-02-28,233.15,179.45,0.0
EMP01030,2025-01-17,423.84,349.79,0.0
EMP01030,2025-01-31,152.77,323.21,0.0
EMP01031,2025-01-03,778.3,370.55,0.0
EMP01031,2025-01-10,799.5,334.41,0.0
EMP01031,2025-02-07,694.09,66.52,0.0
EMP01032,2025-01-24,215.25,0.86,0.0
EMP01032,2025-02-21,705.26,360.98,0.0
EMP01033,2025-01-31,299.67,278.64,0.0
EMP01033,2025-02-21,611.35,313.34,0.0
EMP01034,2025-01-10,623.58,22.87,0.0
EMP01034,2025-01-17,505.43,216.88,0.0
EMP01034,2025-02-21,307.7,387.48,0.0
EMP01035,2025-01-03,572.65,94.08,0.0
EMP01035,2025-01-17,230.08,238.01,0.0
EMP01035,2025-02-21,772.55,32.04,0.0
EMP01036,2025-01-24,505.24,15.9,0.0
EMP01037,2025-02-14,560.16,226.09,0.0
EMP01038,2025-01-24,285.93,52.35,0.0
EMP01038,2025-01-31,568.81,125.67,0.0
EMP01039,2025-01-17,494.1,39.99,0.0
EMP01039,2025-01-31,750.31,374.29,0.0
EMP01039,2025-02-21,106.52,248.46,0.0
EMP01040,2025-01-10,210.42,333.5,0.0
EMP01040,2025-01-24,753.28,352.35,0.0
EMP01040,2025-01-31,715.49,147.81,0.0
EMP01041,2025-01-03,564.37,375.57,0.0
EMP01041,2025-01-31,671.97,119.75,0.0
EMP01041,2025-02-07,194.0,46.17,0.0
EMP01042,2025-02-28,208.81,112.7,0.0
EMP01043,2025-02-07,242.52,253.7,0.0
EMP01044,2025-02-21,135.56,253.71,0.0
EMP01044,2025-02-28,275.78,363.26,0.0
EMP01045,2025-01-03,333.49,52.33,0.0
EMP01045,2025-02-28,785.86,64.63,0.0
EMP01046,2025-02-14,761.54,276.41,0.0
EMP01046,2025-02-28,492.63,44.75,0.0
EMP01047,2025-02-28,125.22,147.69,0.0
EMP01048,2025-01-10,577.45,266.77,70.74
EMP01048,2025-01-17,129.28,145.86,186.62
EMP01048,2025-02-14,780.54,15.96,71.56
EMP01049,2025-01-10,117.35,294.63,0.0
EMP01049,2025-01-17,667.54,352.57,0.0
