employee_id,amount_payroll,pay_date,amount_rk,deposit_date,_merge
EMP01001,,,0.0,2025-03-04,right_only
EMP01002,,,0.0,2025-01-27,right_only
EMP01003,,,0.0,2025-01-29,right_only
EMP01004,,,0.0,2025-02-17,right_only
EMP01005,,,0.0,2025-01-07,right_only
EMP01006,,,0.0,2025-01-15,right_only
EMP01007,,,0.0,2025-01-14,right_only
EMP01008,,,0.0,2025-01-20,right_only
EMP01009,,,0.0,2025-01-22,right_only
EMP01010,,,0.0,2025-02-05,right_only
EMP01011,,,0.0,2025-01-28,right_only
EMP01012,,,0.0,2025-01-15,right_only
EMP01013,,,0.0,2025-02-10,right_only
EMP01014,,,0.0,2025-01-13,right_only
EMP01015,,,0.0,2025-02-17,right_only
EMP01016,,,0.0,2025-02-05,right_only
EMP01017,,,0.0,2025-01-08,right_only
EMP01018,,,0.0,2025-01-22,right_only
EMP01019,,,0.0,2025-01-14,right_only
EMP01020,,,0.0,2025-01-08,right_only
EMP01021,,,0.0,2025-03-04,right_only
EMP01022,,,0.0,2025-01-21,right_only
EMP01023,,,0.0,2025-01-29,right_only
EMP01024,,,0.0,2025-01-06,right_only
EMP01025,,,0.0,2025-01-08,right_only
EMP01026,,,0.0,2025-02-05,right_only
EMP01027,,,0.0,2025-02-25,right_only
EMP01028,,,0.0,2025-01-14,right_only
EMP01029,,,0.0,2025-01-07,right_only
EMP01030,,,0.0,2025-01-20,right_only
EMP01031,,,0.0,2025-01-08,right_only
EMP01032,,,0.0,2025-01-27,right_only
EMP01033,,,0.0,2025-02-03,right_only
EMP01034,,,0.0,2025-01-14,right_only
EMP01035,,,0.0,2025-01-07,right_only
EMP01036,,,0.0,2025-01-27,right_only
EMP01037,,,0.0,2025-02-19,right_only
EMP01038,,,0.0,2025-01-28,right_only
EMP01039,,,0.0,2025-01-22,right_only
EMP01040,,,0.0,2025-01-15,right_only
EMP01041,,,0.0,2025-01-06,right_only
EMP01042,,,0.0,2025-03-04,right_only
EMP01043,,,0.0,2025-02-10,right_only
EMP01044,,,0.0,2025-02-24,right_only
EMP01045,,,0.0,2025-01-14,right_only
EMP01046,,,0.0,2025-02-18,right_only
EMP01047,,,0.0,2025-03-04,right_only
EMP01048,,,0.0,2025-01-15,right_only
EMP01049,,,0.0,2025-01-14,right_only
EMP01050,,,0.0,2025-01-28,right_only
EMP01051,,,0.0,2025-01-29,right_only
EMP01052,,,0.0,2025-01-28,right_only
EMP01053,,,0.0,2025-01-15,right_only
EMP01054,,,0.0,2025-01-08,right_only
EMP01055,,,0.0,2025-02-10,right_only
EMP01056,,,0.0,2025-01-06,right_only
EMP01057,,,0.0,2025-01-27,right_only
EMP01058,,,0.0,2025-02-03,right_only
EMP01060,,,0.0,2025-01-21,right_only
EMP01061,,,0.0,2025-02-25,right_only
EMP01062,,,0.0,2025-01-13,right_only
EMP01063,,,0.0,2025-01-29,right_only
EMP01064,,,0.0,2025-01-13,right_only
EMP01065,,,0.0,2025-01-29,right_only
EMP01066,,,0.0,2025-02-18,right_only
EMP01067,,,0.0,2025-01-08,right_only
EMP01068,,,0.0,2025-02-04,right_only
EMP01069,,,0.0,2025-02-04,right_only
EMP01070,,,0.0,2025-01-27,right_only
EMP01071,,,0.0,2025-01-14,right_only
EMP01072,,,0.0,2025-01-06,right_only
EMP01073,,,0.0,2025-01-07,right_only
EMP01074,,,0.0,2025-01-29,right_only
EMP01075,,,0.0,2025-02-24,right_only
EMP01076,,,0.0,2025-01-07,right_only
EMP01077,,,0.0,2025-01-28,right_only
EMP01078,,,0.0,2025-01-13,right_only
EMP01079,,,0.0,2025-01-13,right_only
EMP01080,,,0.0,2025-01-28,right_only
EMP01081,,,0.0,2025-01-27,right_only
EMP01082,,,0.0,2025-01-29,right_only
EMP01083,,,0.0,2025-02-05,right_only
EMP01084,,,0.0,2025-02-19,right_only
EMP01085,,,0.0,2025-01-14,right_only
EMP01086,,,0.0,2025-01-07,right_only
EMP01087,,,0.0,2025-01-15,right_only
EMP01088,,,0.0,2025-01-22,right_only
EMP01089,,,0.0,2025-02-05,right_only
EMP01090,,,0.0,2025-01-08,right_only
EMP01091,,,0.0,2025-01-06,right_only
