EmpNumber,Payroll_Run_Date,PreTax_Defl,Roth_Defl,Loan_Pmt,is_hce,catchup_pretax,catchup_roth
1001,2024-11-15,375.00,0.00,75.00,N,0.00,0.00
1002,2024-11-15,250.00,100.00,0.00,N,0.00,0.00
1003,2024-11-15,0.00,400.00,50.00,Y,0.00,250.00
1004,2024-11-15,300.00,0.00,0.00,N,50.00,0.00
1005,2024-11-15,425.00,0.00,100.00,Y,200.00,0.00
1006,2024-11-15,250.00,150.00,0.00,N,0.00,0.00
1007,2024-11-15,0.00,500.00,0.00,Y,0.00,300.00
1008,2024-11-15,275.00,75.00,50.00,N,0.00,0.00
1009,2024-11-15,400.00,0.00,80.00,Y,150.00,0.00
1010,2024-11-15,350.00,0.00,100.00,N,0.00,0.00
1011,2024-11-15,225.00,175.00,0.00,N,0.00,0.00
1012,2024-11-15,0.00,450.00,0.00,Y,0.00,200.00
1013,2024-11-15,300.00,0.00,0.00,N,0.00,0.00
1014,2024-11-15,375.00,100.00,75.00,N,0.00,0.00
1015,2024-11-15,425.00,0.00,0.00,Y,180.00,0.00
1016,2024-11-15,275.00,150.00,0.00,N,0.00,0.00
1017,2024-11-15,0.00,475.00,60.00,Y,0.00,275.00
1018,2024-11-15,325.00,0.00,100.00,N,40.00,0.00
1019,2024-11-15,200.00,200.00,0.00,N,0.00,0.00
1020,2024-11-15,250.00,150.00,0.00,N,0.00,0.00
