employee_id,record_date,def_amount,roth_amount,loan_amount
E1000,2025-01-04,106.18,0.0,0.0
E1000,2025-01-18,192.61,0.0,0.0
E1000,2025-02-01,159.8,0.0,0.0
E1000,2025-02-15,139.8,0.0,0.0
E1000,2025-03-01,73.4,0.0,0.0
E1000,2025-03-15,73.4,0.0,0.0
E1000,2025-03-29,58.71,0.0,0.0
E1000,2025-04-12,179.93,0.0,0.0
E1000,2025-04-26,140.17,0.0,0.0
E1000,2025-05-10,156.21,0.0,0.0
E1001,2025-01-04,53.09,0.0,0.0
E1001,2025-01-18,195.49,0.0,0.0
E1001,2025-02-01,174.87,0.0,0.0
E1001,2025-02-15,81.85,0.0,0.0
E1001,2025-03-01,77.27,0.0,0.0
E1001,2025-03-15,77.51,0.0,0.0
E1001,2025-03-29,95.64,0.0,0.0
E1001,2025-04-12,128.71,0.0,0.0
E1001,2025-04-26,114.79,0.0,0.0
E1001,2025-05-10,93.68,0.0,0.0
E1002,2025-01-04,141.78,0.0,0.0
E1002,2025-01-18,70.92,0.0,0.0
E1002,2025-02-01,93.82,0.0,0.0
E1002,2025-02-15,104.95,0.0,0.0
E1002,2025-03-01,118.41,0.0,0.0
E1002,2025-03-15,167.78,0.0,0.0
E1002,2025-03-29,79.95,0.0,0.0
E1002,2025-04-12,127.14,0.0,0.0
E1002,2025-04-26,138.86,0.0,0.0
E1002,2025-05-10,56.97,0.0,0.0
E1003,2025-01-04,141.13,0.0,0.0
E1003,2025-01-18,75.58,0.0,0.0
E1003,2025-02-01,59.76,0.0,0.0
E1003,2025-02-15,192.33,0.0,0.0
E1003,2025-03-01,194.84,0.0,0.0
E1003,2025-03-15,171.26,0.0,0.0
E1003,2025-03-29,95.69,0.0,0.0
E1003,2025-04-12,64.65,0.0,0.0
E1003,2025-04-26,152.63,0.0,0.0
E1003,2025-05-10,116.02,0.0,0.0
E1004,2025-01-04,68.31,0.0,0.0
E1004,2025-01-18,124.28,0.0,0.0
E1004,2025-02-01,55.16,0.0,0.0
E1004,2025-02-15,186.4,0.0,0.0
E1004,2025-03-01,88.82,0.0,0.0
E1004,2025-03-15,149.38,0.0,0.0
E1004,2025-03-29,96.76,0.0,0.0
E1004,2025-04-12,128.01,0.0,0.0
E1004,2025-04-26,132.01,0.0,0.0
E1004,2025-05-10,77.73,0.0,0.0
E1005,2025-01-04,195.44,0.0,0.0
E1005,2025-01-18,166.27,0.0,0.0
E1005,2025-02-01,190.92,0.0,0.0
E1005,2025-02-15,184.22,0.0,0.0
E1005,2025-03-01,139.68,0.0,0.0
E1005,2025-03-15,188.28,0.0,0.0
E1005,2025-03-29,63.27,0.0,0.0
E1005,2025-04-12,79.4,0.0,0.0
E1005,2025-04-26,56.78,0.0,0.0
E1005,2025-05-10,98.8,0.0,0.0
E1006,2025-01-04,108.3,0.0,0.0
E1006,2025-01-18,90.7,0.0,0.0
E1006,2025-02-01,174.31,0.0,0.0
E1006,2025-02-15,103.51,0.0,0.0
E1006,2025-03-01,92.14,0.0,0.0
E1006,2025-03-15,131.4,0.0,0.0
E1006,2025-03-29,71.14,0.0,0.0
E1006,2025-04-12,170.33,0.0,0.0
E1006,2025-04-26,61.18,0.0,0.0
E1006,2025-05-10,198.03,0.0,0.0
E1007,2025-01-04,165.84,0.0,0.0
E1007,2025-01-18,79.81,0.0,0.0
E1007,2025-02-01,50.83,0.0,0.0
E1007,2025-02-15,172.32,0.0,0.0
E1007,2025-03-01,156.03,0.0,0.0
E1007,2025-03-15,159.35,0.0,0.0
E1007,2025-03-29,165.69,0.0,0.0
E1007,2025-04-12,61.11,0.0,0.0
E1007,2025-04-26,103.77,0.0,0.0
E1007,2025-05-10,67.38,0.0,0.0
E1008,2025-01-04,179.47,0.0,0.0
E1008,2025-01-18,143.49,0.0,0.0
E1008,2025-02-01,99.63,0.0,0.0
E1008,2025-02-15,59.53,0.0,0.0
E1008,2025-03-01,96.65,0.0,0.0
E1008,2025-03-15,98.78,0.0,0.0
E1008,2025-03-29,159.44,0.0,0.0
E1008,2025-04-12,145.63,0.0,0.0
E1008,2025-04-26,183.08,0.0,0.0
E1008,2025-05-10,120.83,0.0,0.0
E1009,2025-01-04,67.94,0.0,0.0
E1009,2025-01-18,156.99,0.0,0.0
E1009,2025-02-01,164.12,0.0,0.0
E1009,2025-02-15,134.19,0.0,0.0
E1009,2025-03-01,165.65,0.0,0.0
E1009,2025-03-15,124.07,0.0,0.0
E1009,2025-03-29,128.41,0.0,0.0
E1009,2025-04-12,114.13,0.0,0.0
E1009,2025-04-26,53.81,0.0,0.0
E1009,2025-05-10,66.18,0.0,0.0
E1010,2025-01-04,54.71,0.0,0.0
E1010,2025-01-18,145.46,0.0,0.0
E1010,2025-02-01,97.15,0.0,0.0
E1010,2025-02-15,126.29,0.0,0.0
E1010,2025-03-01,186.13,0.0,0.0
E1010,2025-03-15,87.39,0.0,0.0
E1010,2025-03-29,111.56,0.0,0.0
E1010,2025-04-12,163.33,0.0,0.0
E1010,2025-04-26,84.32,0.0,0.0
E1010,2025-05-10,61.55,0.0,0.0
E1011,2025-01-04,93.46,0.0,0.0
E1011,2025-01-18,74.18,0.0,0.0
E1011,2025-02-01,189.45,0.0,0.0
E1011,2025-02-15,171.22,0.0,0.0
E1011,2025-03-01,145.01,0.0,0.0
E1011,2025-03-15,180.72,0.0,0.0
E1011,2025-03-29,170.55,0.0,0.0
E1011,2025-04-12,77.99,0.0,0.0
E1011,2025-04-26,183.88,0.0,0.0
E1011,2025-05-10,130.9,0.0,0.0
E1012,2025-01-04,171.12,0.0,0.0
E1012,2025-01-18,184.41,0.0,0.0
E1012,2025-02-01,97.7,0.0,0.0
E1012,2025-02-15,66.51,0.0,0.0
E1012,2025-03-01,84.19,0.0,0.0
E1012,2025-03-15,114.07,0.0,0.0
E1012,2025-03-29,172.7,0.0,0.0
E1012,2025-04-12,179.11,0.0,0.0
E1012,2025-04-26,51.04,0.0,0.0
E1012,2025-05-10,126.61,0.0,0.0
E1013,2025-01-04,112.61,0.0,0.0
E1013,2025-01-18,83.32,0.0,0.0
E1013,2025-02-01,67.98,0.0,0.0
E1013,2025-02-15,100.64,0.0,0.0
E1013,2025-03-01,191.44,0.0,0.0
E1013,2025-03-15,98.48,0.0,0.0
E1013,2025-03-29,127.82,0.0,0.0
E1013,2025-04-12,155.45,0.0,0.0
E1013,2025-04-26,104.54,0.0,0.0
E1013,2025-05-10,195.77,0.0,0.0
E1014,2025-01-04,194.37,0.0,0.0
E1014,2025-01-18,87.77,0.0,0.0
E1014,2025-02-01,124.59,0.0,0.0
E1014,2025-02-15,95.13,0.0,0.0
E1014,2025-03-01,92.73,0.0,0.0
E1014,2025-03-15,55.53,0.0,0.0
E1014,2025-03-29,141.43,0.0,0.0
E1014,2025-04-12,125.4,0.0,0.0
E1014,2025-04-26,57.72,0.0,0.0
E1014,2025-05-10,91.8,0.0,0.0
E1015,2025-01-04,186.24,0.0,0.0
E1015,2025-01-18,85.93,0.0,0.0
E1015,2025-02-01,71.73,0.0,0.0
E1015,2025-02-15,123.42,0.0,0.0
E1015,2025-03-01,197.85,0.0,0.0
E1015,2025-03-15,86.31,0.0,0.0
E1015,2025-03-29,150.82,0.0,0.0
E1015,2025-04-12,164.24,0.0,0.0
E1015,2025-04-26,85.65,0.0,0.0
E1015,2025-05-10,159.23,0.0,0.0
E1016,2025-01-04,105.17,0.0,0.0
E1016,2025-01-18,144.85,0.0,0.0
E1016,2025-02-01,145.03,0.0,0.0
E1016,2025-02-15,130.37,0.0,0.0
E1016,2025-03-01,63.54,0.0,0.0
E1016,2025-03-15,175.3,0.0,0.0
E1016,2025-03-29,98.12,0.0,0.0
E1016,2025-04-12,77.98,0.0,0.0
E1016,2025-04-26,56.12,0.0,0.0
E1016,2025-05-10,138.63,0.0,0.0
E1017,2025-01-04,151.63,0.0,0.0
E1017,2025-01-18,52.49,0.0,0.0
E1017,2025-02-01,126.81,0.0,0.0
E1017,2025-02-15,83.97,0.0,0.0
E1017,2025-03-01,146.78,0.0,0.0
E1017,2025-03-15,76.15,0.0,0.0
E1017,2025-03-29,153.64,0.0,0.0
E1017,2025-04-12,108.01,0.0,0.0
E1017,2025-04-26,190.51,0.0,0.0
E1017,2025-05-10,70.63,0.0,0.0
E1018,2025-01-04,101.16,0.0,0.0
E1018,2025-01-18,67.02,0.0,0.0
E1018,2025-02-01,188.7,0.0,0.0
E1018,2025-02-15,181.6,0.0,0.0
E1018,2025-03-01,88.69,0.0,0.0
E1018,2025-03-15,149.0,0.0,0.0
E1018,2025-03-29,172.58,0.0,0.0
E1018,2025-04-12,133.28,0.0,0.0
E1018,2025-04-26,129.45,0.0,0.0
E1018,2025-05-10,86.28,0.0,0.0
E1019,2025-01-04,63.97,0.0,0.0
E1019,2025-01-18,184.58,0.0,0.0
E1019,2025-02-01,185.06,0.0,0.0
E1019,2025-02-15,144.97,0.0,0.0
E1019,2025-03-01,100.85,0.0,0.0
E1019,2025-03-15,102.38,0.0,0.0
E1019,2025-03-29,158.89,0.0,0.0
E1019,2025-04-12,184.57,0.0,0.0
E1019,2025-04-26,183.06,0.0,0.0
E1019,2025-05-10,166.98,0.0,0.0
E1020,2025-01-04,146.3,0.0,0.0
E1020,2025-01-18,62.62,0.0,0.0
E1020,2025-02-01,74.24,0.0,0.0
E1020,2025-02-15,184.78,0.0,0.0
E1020,2025-03-01,140.96,0.0,0.0
E1020,2025-03-15,51.38,0.0,0.0
E1020,2025-03-29,65.22,0.0,0.0
E1020,2025-04-12,149.53,0.0,0.0
E1020,2025-04-26,50.76,0.0,0.0
E1020,2025-05-10,74.12,0.0,0.0
E1021,2025-01-04,132.31,0.0,0.0
E1021,2025-01-18,153.78,0.0,0.0
E1021,2025-02-01,147.79,0.0,0.0
E1021,2025-02-15,83.64,0.0,0.0
E1021,2025-03-01,156.83,0.0,0.0
E1021,2025-03-15,85.59,0.0,0.0
E1021,2025-03-29,98.81,0.0,0.0
E1021,2025-04-12,161.97,0.0,0.0
E1021,2025-04-26,147.44,0.0,0.0
E1021,2025-05-10,177.38,0.0,0.0
E1022,2025-01-04,148.64,0.0,0.0
E1022,2025-01-18,135.25,0.0,0.0
E1022,2025-02-01,64.05,0.0,0.0
E1022,2025-02-15,105.16,0.0,0.0
E1022,2025-03-01,89.78,0.0,0.0
E1022,2025-03-15,86.6,0.0,0.0
E1022,2025-03-29,195.95,0.0,0.0
E1022,2025-04-12,108.96,0.0,0.0
E1022,2025-04-26,183.81,0.0,0.0
E1022,2025-05-10,144.67,0.0,0.0
E1023,2025-01-04,169.22,0.0,0.0
E1023,2025-01-18,125.4,0.0,0.0
E1023,2025-02-01,136.54,0.0,0.0
