employee_id,record_date,def_amount,roth_amount,loan_amount
E1000,2025-01-06,166.39,8.28,0.0
E1000,2025-01-17,101.99,4.79,0.0
E1000,2025-01-31,163.25,8.16,0.0
E1000,2025-02-14,77.49,3.46,0.0
E1000,2025-02-27,188.06,9.4,0.0
E1000,2025-03-21,210.96,10.55,0.0
E1000,2025-03-31,170.63,8.53,0.0
E1000,2025-04-12,148.77,7.52,0.0
E1000,2025-04-26,207.89,10.39,0.0
E1000,2025-05-09,195.89,9.79,0.0
E1001,2025-01-02,107.76,5.39,0.0
E1001,2025-01-22,185.9,9.29,0.0
E1001,2025-02-18,67.08,3.35,0.0
E1001,2025-02-27,146.94,7.35,0.0
E1001,2025-03-14,108.56,5.43,0.0
E1001,2025-04-02,214.58,10.73,0.0
E1001,2025-04-15,191.58,9.58,0.0
E1001,2025-04-28,190.9,9.54,0.0
E1001,2025-05-09,124.36,6.22,0.0
E1001,2025-05-25,114.67,5.73,0.0
E1001,2025-06-13,89.21,4.46,0.0
E1002,2025-01-02,50.15,2.51,0.0
E1002,2025-01-21,201.91,9.78,0.0
E1002,2025-02-08,229.88,11.0,0.0
E1002,2025-02-20,139.98,7.0,0.0
E1002,2025-03-06,178.42,8.92,0.0
E1002,2025-03-21,217.05,10.5,0.0
E1002,2025-04-02,84.52,4.23,0.0
E1002,2025-04-13,121.1,6.05,0.0
E1002,2025-05-01,72.33,3.16,0.0
E1002,2025-06-11,160.91,8.05,0.0
E1003,2025-01-11,151.26,7.56,0.0
E1003,2025-01-24,104.47,5.22,0.0
E1003,2025-01-31,63.87,3.02,0.0
E1003,2025-02-17,133.66,6.68,0.0
E1003,2025-03-03,179.02,8.95,0.0
E1003,2025-03-17,133.63,6.68,0.0
E1003,2025-04-04,193.39,9.67,0.0
E1003,2025-04-14,139.34,6.97,0.0
E1003,2025-04-27,140.97,7.05,0.0
E1003,2025-05-16,197.8,9.89,0.0
E1003,2025-05-22,112.63,5.63,0.0
E1003,2025-06-06,64.12,3.21,0.0
E1004,2025-01-06,45.18,2.26,0.0
E1004,2025-01-25,175.92,8.8,0.0
E1004,2025-02-06,155.74,7.58,0.0
E1004,2025-02-21,78.33,3.92,0.0
E1004,2025-03-06,54.839999999999996,3.23,0.0
E1004,2025-03-21,103.11,5.16,0.0
E1004,2025-03-30,146.19,7.31,0.0
E1004,2025-04-13,110.6,5.53,0.0
E1004,2025-04-29,118.75,5.94,0.0
E1004,2025-05-09,202.75,10.14,0.0
E1004,2025-05-22,102.97,5.13,0.0
E1004,2025-06-08,181.06,9.05,0.0
E1005,2025-01-17,159.23,7.6,0.0
E1005,2025-01-31,210.91,10.55,0.0
E1005,2025-02-20,66.47,3.32,0.0
E1005,2025-03-08,206.63,10.34,0.0
E1005,2025-03-20,86.48,4.32,0.0
E1005,2025-03-28,122.64,6.13,0.0
E1005,2025-04-16,216.41,10.82,0.0
E1005,2025-04-25,128.67,6.43,0.0
E1005,2025-05-23,154.01,7.7,0.0
E1005,2025-06-12,83.23,4.16,0.0
E1006,2025-01-09,53.66,2.68,0.0
E1006,2025-01-23,63.2,3.16,0.0
E1006,2025-01-31,63.05,3.15,0.0
E1006,2025-02-28,64.99,3.25,0.0
E1006,2025-03-15,155.36,7.77,0.0
E1006,2025-04-02,72.74,3.64,0.0
E1006,2025-04-10,102.22,5.11,0.0
E1006,2025-05-01,201.42,10.07,0.0
E1006,2025-05-16,125.31,6.27,0.0
E1006,2025-05-25,160.16,8.01,0.0
E1006,2025-06-14,71.02,3.55,0.0
E1007,2025-01-07,65.43,3.73,0.0
E1007,2025-02-07,90.15,4.51,0.0
E1007,2025-02-14,71.86,3.59,0.0
E1007,2025-02-28,48.379999999999995,2.8,0.0
E1007,2025-03-14,122.94,6.15,0.0
E1007,2025-04-05,77.14,3.86,0.0
E1007,2025-04-16,105.57,5.28,0.0
E1007,2025-04-29,130.62,6.53,0.0
E1007,2025-05-13,164.27,8.21,0.0
E1007,2025-05-26,47.08,2.35,0.0
E1007,2025-06-06,183.89,9.19,0.0
E1008,2025-01-17,54.72,2.74,0.0
E1008,2025-02-18,205.76,10.29,0.0
E1008,2025-03-04,50.99,2.55,0.0
E1008,2025-03-21,89.84,4.49,0.0
E1008,2025-04-04,185.12,9.26,0.0
E1008,2025-04-25,73.21,3.66,0.0
E1008,2025-05-09,75.09,3.88,0.0
E1008,2025-05-24,127.21,6.36,0.0
E1008,2025-06-10,151.29,7.56,0.0
E1009,2025-01-06,106.4,5.32,0.0
E1009,2025-01-16,123.26,6.16,0.0
E1009,2025-02-13,46.6,2.33,0.0
E1009,2025-03-03,89.71,4.27,0.0
E1009,2025-03-19,201.14,10.06,0.0
E1009,2025-03-29,132.73999999999998,6.61,0.0
E1009,2025-04-19,59.29,2.96,0.0
E1009,2025-04-24,120.53,6.03,0.0
E1009,2025-05-08,135.87,6.79,0.0
E1009,2025-05-25,83.64,4.18,0.0
E1009,2025-06-13,88.46,4.42,0.0
E1010,2025-01-11,107.91,5.4,0.0
E1010,2025-01-19,43.61,2.18,0.0
E1010,2025-02-01,97.97,4.9,0.0
E1010,2025-02-18,74.61,3.9,0.0
E1010,2025-03-02,61.56,3.08,0.0
E1010,2025-03-14,200.29,10.01,0.0
E1010,2025-04-03,150.43,7.34,0.0
E1010,2025-04-17,182.05,9.1,0.0
E1010,2025-04-27,129.72,6.49,0.0
E1010,2025-05-14,55.65,2.78,0.0
E1010,2025-05-26,136.68,6.83,0.0
E1010,2025-06-13,145.63,7.28,0.0
E1011,2025-01-06,172.81,8.71,0.0
E1011,2025-01-20,62.96,3.15,0.0
E1011,2025-02-18,105.35,5.27,0.0
E1011,2025-02-28,156.27,7.81,0.0
E1011,2025-03-17,142.74,7.14,0.0
E1011,2025-04-18,217.57,10.88,0.0
E1011,2025-04-27,149.04,7.45,0.0
E1011,2025-05-13,74.74000000000001,4.14,0.0
E1011,2025-05-23,67.51,3.38,0.0
E1011,2025-06-09,84.27,4.21,0.0
E1012,2025-01-06,68.92,3.45,0.0
E1012,2025-01-22,73.58,3.68,0.0
E1012,2025-02-08,91.32,4.57,0.0
E1012,2025-02-13,71.21,3.56,0.0
E1012,2025-03-08,201.42,10.07,0.0
E1012,2025-03-20,54.44,2.72,0.0
E1012,2025-04-03,134.41,6.72,0.0
E1012,2025-04-12,113.87,5.69,0.0
E1012,2025-05-03,216.83,10.84,0.0
E1012,2025-05-11,60.17,3.01,0.0
E1012,2025-05-25,111.61,5.58,0.0
E1012,2025-06-12,221.81,10.73,0.0
E1013,2025-01-09,187.07,9.35,0.0
E1013,2025-01-19,86.42,4.32,0.0
E1013,2025-02-05,70.76,3.54,0.0
E1013,2025-02-13,160.36,8.02,0.0
E1013,2025-02-28,207.29,10.36,0.0
E1013,2025-03-21,140.22,7.01,0.0
E1013,2025-03-28,142.89,7.14,0.0
E1013,2025-04-18,90.4,4.52,0.0
E1013,2025-05-01,178.51,8.93,0.0
E1013,2025-05-16,73.67,3.68,0.0
E1013,2025-05-29,98.26,4.91,0.0
E1013,2025-06-12,116.58,5.83,0.0
E1014,2025-01-06,131.37,6.57,0.0
E1014,2025-01-19,83.63,4.18,0.0
E1014,2025-02-03,62.88,3.03,0.0
E1014,2025-02-21,91.95,4.6,0.0
E1014,2025-03-15,67.79,3.39,0.0
E1014,2025-04-02,127.26,6.33,0.0
E1014,2025-04-10,49.33,2.47,0.0
E1014,2025-05-03,100.59,5.03,0.0
E1014,2025-05-17,55.459999999999994,3.21,0.0
E1014,2025-05-27,214.64,10.91,0.0
E1014,2025-06-11,185.78,9.29,0.0
E1015,2025-01-11,85.84,4.29,0.0
E1015,2025-01-20,162.67,8.13,0.0
E1015,2025-02-04,178.75,8.84,0.0
E1015,2025-02-15,124.88,6.24,0.0
E1015,2025-03-08,114.13,5.71,0.0
E1015,2025-03-22,102.8,5.14,0.0
E1015,2025-04-02,213.93,10.37,0.0
E1015,2025-04-10,213.7,10.69,0.0
E1015,2025-05-01,62.37,3.12,0.0
E1015,2025-05-14,171.56,8.58,0.0
E1015,2025-05-28,208.9,10.45,0.0
E1015,2025-06-05,63.95,3.63,0.0
E1016,2025-01-07,174.89000000000001,8.67,0.0
E1016,2025-01-16,184.33,9.58,0.0
E1016,2025-02-02,183.15,9.16,0.0
E1016,2025-02-16,76.29,3.81,0.0
E1016,2025-03-08,69.46,3.47,0.0
E1016,2025-03-17,69.57,3.48,0.0
E1016,2025-04-05,186.62,9.33,0.0
E1016,2025-04-12,159.74,7.99,0.0
E1016,2025-04-24,131.33,6.71,0.0
E1016,2025-05-14,197.9,9.9,0.0
E1016,2025-05-23,110.64,5.53,0.0
E1016,2025-06-08,186.99,9.35,0.0
E1017,2025-01-11,119.04,5.95,0.0
E1017,2025-01-25,107.85,5.39,0.0
E1017,2025-02-05,123.28,6.16,0.0
E1017,2025-02-18,99.2,4.71,0.0
E1017,2025-03-19,81.8,4.09,0.0
E1017,2025-04-03,201.92,10.1,0.0
E1017,2025-04-18,109.1,5.46,0.0
E1017,2025-05-02,137.84,6.89,0.0
E1017,2025-05-17,203.16,10.16,0.0
E1017,2025-05-23,152.36,7.62,0.0
E1017,2025-06-12,61.04,3.05,0.0
E1018,2025-01-07,209.17,10.46,0.0
E1018,2025-02-02,100.28,5.01,0.0
E1018,2025-02-17,65.07,3.25,0.0
E1018,2025-03-03,182.92,9.15,0.0
E1018,2025-03-16,151.61,7.58,0.0
E1018,2025-04-13,200.9,10.05,0.0
E1018,2025-05-01,181.95,9.1,0.0
E1018,2025-05-12,63.529999999999994,3.37,0.0
E1018,2025-05-26,84.73,4.24,0.0
E1018,2025-06-13,173.91,8.7,0.0
E1019,2025-01-10,46.04,2.3,0.0
E1019,2025-01-20,142.58,7.13,0.0
E1019,2025-02-02,177.24,8.86,0.0
E1019,2025-02-15,197.82,9.89,0.0
E1019,2025-03-03,101.57,5.08,0.0
E1019,2025-03-21,187.83,9.39,0.0
E1019,2025-03-30,59.91,3.0,0.0
E1019,2025-04-14,192.36,9.62,0.0
E1019,2025-05-08,111.51,5.58,0.0
E1019,2025-05-24,183.51,9.18,0.0
E1019,2025-06-06,66.99,3.35,0.0
E1020,2025-01-09,81.27,4.06,0.0
E1020,2025-01-16,170.01,8.5,0.0
E1020,2025-01-31,169.61,8.48,0.0
E1020,2025-02-14,155.41,7.77,0.0
E1020,2025-03-01,164.91,8.25,0.0
E1020,2025-03-17,137.69,6.88,0.0
E1020,2025-04-16,102.23,5.11,0.0
E1020,2025-04-27,72.69,3.63,0.0
E1020,2025-05-15,203.52,10.18,0.0
E1020,2025-05-28,145.01,7.25,0.0
E1020,2025-06-14,112.15,5.61,0.0
E1021,2025-01-05,132.10999999999999,6.16,0.0
E1021,2025-01-17,67.6,3.38,0.0
E1021,2025-01-31,145.52,7.28,0.0
E1021,2025-02-22,131.06,6.55,0.0
E1021,2025-03-03,140.42000000000002,7.5,0.0
E1021,2025-03-20,196.98,9.85,0.0
E1021,2025-04-19,141.72,7.09,0.0
E1021,2025-04-30,165.4,8.27,0.0
E1021,2025-05-10,206.05,10.3,0.0
E1021,2025-05-23,167.3,8.37,0.0
E1022,2025-01-11,143.73,7.19,0.0
E1022,2025-01-23,149.21,7.46,0.0
E1022,2025-02-03,116.34,5.82,0.0
E1022,2025-02-14,172.56,8.63,0.0
E1022,2025-03-04,208.19,10.41,0.0
E1022,2025-03-16,205.62,10.33,0.0
E1022,2025-04-05,60.38,3.02,0.0
E1022,2025-04-14,224.05,10.86,0.0
E1022,2025-04-26,62.44,3.12,0.0
E1022,2025-05-12,205.75,10.29,0.0
E1022,2025-05-29,196.58,9.83,0.0
E1022,2025-06-11,133.39,6.67,0.0
E1023,2025-01-04,146.43,7.32,0.0
E1023,2025-01-20,111.82,5.59,0.0
E1023,2025-02-07,49.86,2.49,0.0
