employee_id,pay_date,deposit_date,EE Deferral $,EE Roth $,loan_amount,recordkeeper_employment_status,termination_date,source_system,transaction_type
E100001,2025-01-03,2025-01-07,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100001,2025-01-17,2025-01-21,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100001,2025-01-31,2025-02-04,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100001,2025-02-14,2025-02-18,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100002,2025-01-03,2025-01-07,134.08,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100002,2025-01-17,2025-01-21,147.03,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100002,2025-01-31,2025-02-04,134.08,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100002,2025-02-14,2025-02-18,134.08,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100003,2025-01-03,2025-01-07,190.90,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100003,2025-01-17,2025-01-21,208.01,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100003,2025-01-31,2025-02-04,190.90,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100003,2025-02-14,2025-02-18,190.90,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100004,2025-01-03,2025-01-07,277.48,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100004,2025-01-17,2025-01-21,277.48,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100004,2025-01-31,2025-02-04,277.48,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100004,2025-02-14,2025-02-18,277.48,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100005,2025-01-03,2025-01-07,93.65,31.22,162.29,active,,Synthetic RK Trust,CONTRIBUTION
E100005,2025-01-17,2025-01-21,93.65,31.22,162.29,active,,Synthetic RK Trust,CONTRIBUTION
E100005,2025-01-31,2025-02-04,93.65,31.22,162.29,active,,Synthetic RK Trust,CONTRIBUTION
E100005,2025-02-14,2025-02-18,131.15,31.22,162.29,active,,Synthetic RK Trust,CONTRIBUTION
E100006,2025-01-03,2025-01-07,514.72,0.00,79.51,active,,Synthetic RK Trust,CONTRIBUTION
E100006,2025-01-17,2025-01-21,514.72,0.00,79.51,active,,Synthetic RK Trust,CONTRIBUTION
E100006,2025-01-31,2025-02-04,514.72,0.00,79.51,active,,Synthetic RK Trust,CONTRIBUTION
E100006,2025-02-14,2025-02-18,514.72,0.00,57.51,active,,Synthetic RK Trust,CONTRIBUTION
E100007,2025-01-03,2025-01-16,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100007,2025-01-17,2025-01-21,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100007,2025-01-31,2025-02-04,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100007,2025-02-14,2025-02-18,0.00,0.00,0.00,active,,Synthetic RK Trust,CONTRIBUTION
E100009,2025-01-03,2025-01-07,233.15,0.00,0.00,terminated,,Synthetic RK Trust,CONTRIBUTION
E100009,2025-01-17,2025-01-21,233.15,0.00,0.00,terminated,,Synthetic RK Trust,CONTRIBUTION
E100009,2025-01-31,2025-02-04,233.15,0.00,0.00,terminated,,Synthetic RK Trust,CONTRIBUTION
E100009,2025-02-14,2025-02-18,263.97,0.00,0.00,terminated,,Synthetic RK Trust,CONTRIBUTION
